"Demographics","Subgroup","Total Cases","Year","Whites","Blacks","Chicanos/Hispanics","Asian-Americans"
"pid and race","Black Republicans","4","1968","NA","NA","NA","NA"
"pid and race","Black Republicans","6","1970","NA","NA","NA","NA"
"pid and race","Black Republicans","22","1972","NA","NA","NA","NA"
"pid and race","Black Republicans","6","1974","NA","NA","NA","NA"
"pid and race","Black Republicans","6","1976","NA","NA","NA","NA"
"pid and race","Black Republicans","10","1980","NA","NA","NA","NA"
"pid and race","Black Republicans","4","1982","NA","NA","NA","NA"
"pid and race","Black Republicans","18","1984","NA","NA","NA","NA"
"pid and race","Black Republicans","19","1986","NA","NA","NA","NA"
"pid and race","Black Republicans","21","1988","NA","NA","NA","NA"
"pid and race","Black Republicans","29","1990","NA","NA","NA","NA"
"pid and race","Black Republicans","19","1992","NA","NA","NA","NA"
"pid and race","Black Republicans","18","1994","NA","NA","NA","NA"
"pid and race","Black Republicans","10","1996","NA","NA","NA","NA"
"pid and race","Black Republicans","11","1998","NA","NA","NA","NA"
"pid and race","Black Republicans","9","2000","NA","NA","NA","NA"
"pid and race","Black Republicans","8","2002","NA","NA","NA","NA"
"pid and race","Black Republicans","11","2004","NA","NA","NA","NA"
"pid and race","Black Republicans","19","2008","NA","NA","NA","NA"
"pid and race","Black Republicans","20","2012","NA","NA","NA","NA"
"pid and race","Black Republicans","16","2016","NA","NA","NA","NA"
"pid and race","Black Republicans","44","2020","NA","NA","NA","NA"
"pid and race","Black Republicans","47","2024","67.2","74.3","67","69.8"
"pid and race","Hispanic Republicans","2","1970","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","6","1972","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","3","1974","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","6","1976","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","12","1980","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","6","1982","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","27","1984","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","23","1986","NA","NA","NA","NA"
"pid and race","Hispanic Republicans","32","1988","74.5","56.9","77.8","NA"
"pid and race","Hispanic Republicans","45","1990","NA","67.7","NA","NA"
"pid and race","Hispanic Republicans","51","1992","72.4","65.9","77.2","64.2"
"pid and race","Hispanic Republicans","39","1994","74.8","68.8","74.1","NA"
"pid and race","Hispanic Republicans","24","1996","71.1","65.5","75.5","NA"
"pid and race","Hispanic Republicans","33","1998","73.6","69.6","NA","NA"
"pid and race","Hispanic Republicans","35","2000","79.2","72.8","77.3","67.2"
"pid and race","Hispanic Republicans","31","2002","72.3","71.1","71.9","69"
"pid and race","Hispanic Republicans","35","2004","71.3","69.5","75.6","67.3"
"pid and race","Hispanic Republicans","100","2008","71.5","66.8","77.9","66.1"
"pid and race","Hispanic Republicans","80","2012","78.9","69","81.4","69.8"
"pid and race","Hispanic Republicans","87","2016","71.6","67.8","75.9","70.1"
"pid and race","Hispanic Republicans","178","2020","74.4","71.4","77.8","67.1"
"pid and race","Hispanic Republicans","155","2024","67.7","64.3","73.4","65.3"
"pid and race","Other Republicans","3","1966","NA","NA","NA","NA"
"pid and race","Other Republicans","1","1968","NA","NA","NA","NA"
"pid and race","Other Republicans","4","1970","NA","NA","NA","NA"
"pid and race","Other Republicans","5","1972","NA","NA","NA","NA"
"pid and race","Other Republicans","3","1974","NA","NA","NA","NA"
"pid and race","Other Republicans","2","1976","NA","NA","NA","NA"
"pid and race","Other Republicans","2","1980","NA","NA","NA","NA"
"pid and race","Other Republicans","2","1982","NA","NA","NA","NA"
"pid and race","Other Republicans","12","1984","NA","NA","NA","NA"
"pid and race","Other Republicans","13","1986","NA","NA","NA","NA"
"pid and race","Other Republicans","12","1988","NA","NA","NA","NA"
"pid and race","Other Republicans","25","1990","NA","NA","NA","NA"
"pid and race","Other Republicans","25","1992","NA","NA","NA","NA"
"pid and race","Other Republicans","13","1994","NA","NA","NA","NA"
"pid and race","Other Republicans","16","1996","NA","NA","NA","NA"
"pid and race","Other Republicans","8","1998","NA","NA","NA","NA"
"pid and race","Other Republicans","25","2000","NA","NA","NA","NA"
"pid and race","Other Republicans","26","2002","NA","NA","NA","NA"
"pid and race","Other Republicans","17","2004","NA","NA","NA","NA"
"pid and race","Other Republicans","14","2008","NA","NA","NA","NA"
"pid and race","Other Republicans","31","2012","64","54.7","57.1","57.4"
"pid and race","Other Republicans","95","2016","72.8","66.5","65.9","73.4"
"pid and race","Other Republicans","192","2020","73.2","69.1","70.1","73.7"
"pid and race","Other Republicans","142","2024","68.9","64.5","64.5","70.4"
"pid and age","18-29 Democrats","178","1964","82.6","64.3","NA","NA"
"pid and age","18-29 Democrats","123","1966","82.7","67.3","NA","NA"
"pid and age","18-29 Democrats","142","1968","76.5","67.3","NA","NA"
"pid and age","18-29 Democrats","164","1970","74.1","64.3","NA","NA"
"pid and age","18-29 Democrats","306","1972","72.3","67.7","NA","NA"
"pid and age","18-29 Democrats","177","1974","73.9","65.5","NA","NA"
"pid and age","18-29 Democrats","248","1976","68.7","59.9","55.9","NA"
"pid and age","18-29 Democrats","168","1980","74.7","65.4","58.7","NA"
"pid and age","18-29 Democrats","162","1982","69.8","64.9","NA","NA"
"pid and age","18-29 Democrats","224","1984","70.3","67.3","60","NA"
"pid and age","18-29 Democrats","223","1986","NA","73.4","NA","NA"
"pid and age","18-29 Democrats","158","1988","72","70.8","61.3","NA"
"pid and age","18-29 Democrats","186","1990","NA","75.9","NA","NA"
"pid and age","18-29 Democrats","199","1992","68","69.1","64.8","59.7"
"pid and age","18-29 Democrats","148","1994","71.3","70","67.1","NA"
"pid and age","18-29 Democrats","111","1996","70.4","71.6","68.2","NA"
"pid and age","18-29 Democrats","103","1998","66.1","69","NA","NA"
"pid and age","18-29 Democrats","108","2000","70.9","71","69.4","66"
"pid and age","18-29 Democrats","63","2002","66.8","68.7","66.8","64.3"
"pid and age","18-29 Democrats","119","2004","67.4","73.4","64.8","65.4"
"pid and age","18-29 Democrats","214","2008","68.9","70.4","68.2","67.2"
"pid and age","18-29 Democrats","242","2012","72.1","73.5","70.7","66.2"
"pid and age","18-29 Democrats","280","2016","67.2","75.6","75.1","74.2"
"pid and age","18-29 Democrats","460","2020","58.3","80.2","77.4","78.6"
"pid and age","18-29 Democrats","228","2024","61.8","78","77.5","76.4"
"pid and age","30-44 Democrats","300","1964","82.2","65.6","NA","NA"
"pid and age","30-44 Democrats","216","1966","86.2","67.1","NA","NA"
"pid and age","30-44 Democrats","265","1968","79.5","69.7","NA","NA"
"pid and age","30-44 Democrats","218","1970","76.5","67","NA","NA"
"pid and age","30-44 Democrats","256","1972","75","66.3","NA","NA"
"pid and age","30-44 Democrats","177","1974","78.8","65.7","NA","NA"
"pid and age","30-44 Democrats","207","1976","70.6","62.7","59.2","NA"
"pid and age","30-44 Democrats","209","1980","76.4","66.3","59.6","NA"
"pid and age","30-44 Democrats","221","1982","71.8","65.6","NA","NA"
"pid and age","30-44 Democrats","272","1984","74.3","69.5","65.1","NA"
"pid and age","30-44 Democrats","350","1986","NA","69.8","NA","NA"
"pid and age","30-44 Democrats","292","1988","72.1","66.8","60.8","NA"
"pid and age","30-44 Democrats","342","1990","NA","73.9","NA","NA"
"pid and age","30-44 Democrats","379","1992","69.1","69.2","63.8","60.6"
"pid and age","30-44 Democrats","286","1994","70.4","67.9","65.1","NA"
"pid and age","30-44 Democrats","271","1996","71.8","67.9","64.7","NA"
"pid and age","30-44 Democrats","199","1998","72.4","71.9","NA","NA"
"pid and age","30-44 Democrats","218","2000","71.4","70.8","65.2","65.5"
"pid and age","30-44 Democrats","146","2002","64.2","66.3","61","60.4"
"pid and age","30-44 Democrats","112","2004","73.4","78.7","71.7","69.9"
"pid and age","30-44 Democrats","329","2008","71.6","72.3","68.1","64.8"
"pid and age","30-44 Democrats","346","2012","73.8","69.9","70.6","68.8"
"pid and age","30-44 Democrats","442","2016","68.7","73.5","72.5","69.3"
"pid and age","30-44 Democrats","881","2020","64.6","78.1","76.1","72.5"
"pid and age","30-44 Democrats","558","2024","62","73.8","73.8","72"
"pid and age","45-59 Democrats","272","1964","86","64.9","NA","NA"
"pid and age","45-59 Democrats","210","1966","83.4","65.4","NA","NA"
"pid and age","45-59 Democrats","228","1968","81.2","64.5","NA","NA"
"pid and age","45-59 Democrats","221","1970","79.6","61.4","NA","NA"
"pid and age","45-59 Democrats","267","1972","82.4","66.1","NA","NA"
"pid and age","45-59 Democrats","219","1974","82.4","68.2","NA","NA"
"pid and age","45-59 Democrats","234","1976","76.7","64.8","58","NA"
"pid and age","45-59 Democrats","153","1980","79.8","72.2","62.2","NA"
"pid and age","45-59 Democrats","142","1982","75.1","63.1","NA","NA"
"pid and age","45-59 Democrats","192","1984","76.3","64.6","58","NA"
"pid and age","45-59 Democrats","196","1986","NA","68.9","NA","NA"
"pid and age","45-59 Democrats","166","1988","74.9","65.1","60.3","NA"
"pid and age","45-59 Democrats","175","1990","NA","69.4","NA","NA"
"pid and age","45-59 Democrats","228","1992","73.2","68.2","63.7","59.4"
"pid and age","45-59 Democrats","158","1994","76.7","67.7","64.2","NA"
"pid and age","45-59 Democrats","185","1996","72.6","69","65.8","NA"
"pid and age","45-59 Democrats","160","1998","70.4","69.8","NA","NA"
"pid and age","45-59 Democrats","207","2000","74.4","70.1","65.7","67.5"
"pid and age","45-59 Democrats","211","2002","68.8","66.5","63.4","62.5"
"pid and age","45-59 Democrats","135","2004","74.6","74.8","67.1","67.3"
"pid and age","45-59 Democrats","348","2008","73.6","72.5","67.4","66"
"pid and age","45-59 Democrats","311","2012","70.1","71.9","67.8","66.5"
"pid and age","45-59 Democrats","421","2016","71.3","73.8","70.9","70.2"
"pid and age","45-59 Democrats","733","2020","68.9","77.6","73.9","74.2"
"pid and age","45-59 Democrats","521","2024","68.8","75.5","71.8","71.3"
"pid and age","60+ Democrats","173","1964","90.1","63.9","NA","NA"
"pid and age","60+ Democrats","135","1966","90.3","57.6","NA","NA"
"pid and age","60+ Democrats","190","1968","85.6","64.8","NA","NA"
"pid and age","60+ Democrats","190","1970","82","63.2","NA","NA"
"pid and age","60+ Democrats","228","1972","84.4","65.2","NA","NA"
"pid and age","60+ Democrats","205","1974","84.4","68.1","NA","NA"
"pid and age","60+ Democrats","236","1976","79.6","65.3","56.8","NA"
"pid and age","60+ Democrats","179","1980","83.1","68.9","59.2","NA"
"pid and age","60+ Democrats","201","1982","77.6","65.4","NA","NA"
"pid and age","60+ Democrats","199","1984","79.2","61.2","55.1","NA"
"pid and age","60+ Democrats","262","1986","NA","64","NA","NA"
"pid and age","60+ Democrats","209","1988","75.1","63.7","56.1","NA"
"pid and age","60+ Democrats","276","1990","NA","67.6","NA","NA"
"pid and age","60+ Democrats","282","1992","77.1","66.5","60.3","58.4"
"pid and age","60+ Democrats","225","1994","77.8","60","55.2","NA"
"pid and age","60+ Democrats","217","1996","76","68.5","63.5","NA"
"pid and age","60+ Democrats","156","1998","74.5","71.7","NA","NA"
"pid and age","60+ Democrats","191","2000","75.1","69","60.3","62.3"
"pid and age","60+ Democrats","174","2002","70.5","68.4","64.7","62.8"
"pid and age","60+ Democrats","132","2004","79.9","75.3","68.7","69.8"
"pid and age","60+ Democrats","296","2008","77.9","73.6","66.5","68.1"
"pid and age","60+ Democrats","220","2012","74.1","69.8","67.9","63.9"
"pid and age","60+ Democrats","469","2016","73.1","73.4","71.4","70.1"
"pid and age","60+ Democrats","1236","2020","72.2","76.4","75.1","73.4"
"pid and age","60+ Democrats","969","2024","73.2","77.5","73.8","73.1"
"pid and age","18-29 Independents","28","1964","NA","NA","NA","NA"
"pid and age","18-29 Independents","38","1966","78.3","62.9","NA","NA"
"pid and age","18-29 Independents","48","1968","75.5","60.3","NA","NA"
"pid and age","18-29 Independents","55","1970","69.2","59.5","NA","NA"
"pid and age","18-29 Independents","111","1972","73.2","61.5","NA","NA"
"pid and age","18-29 Independents","74","1974","74.7","63.3","NA","NA"
"pid and age","18-29 Independents","92","1976","69.7","55.9","52.8","NA"
"pid and age","18-29 Independents","76","1980","73","58.3","51.8","NA"
"pid and age","18-29 Independents","60","1982","68.4","59.9","NA","NA"
"pid and age","18-29 Independents","67","1984","70","66.4","62.1","NA"
"pid and age","18-29 Independents","104","1986","NA","66.6","NA","NA"
"pid and age","18-29 Independents","53","1988","68.7","58","59","NA"
"pid and age","18-29 Independents","84","1990","NA","67","NA","NA"
"pid and age","18-29 Independents","72","1992","69.3","69.3","61.2","59.3"
"pid and age","18-29 Independents","37","1994","68.5","57.1","55.3","NA"
"pid and age","18-29 Independents","23","1996","75.6","68.2","67.8","NA"
"pid and age","18-29 Independents","33","1998","75.1","72.2","NA","NA"
"pid and age","18-29 Independents","38","2000","74.4","67.8","65.9","63.4"
"pid and age","18-29 Independents","4","2002","54.2","39.7","54.2","54.2"
"pid and age","18-29 Independents","16","2004","61.7","65.7","66.6","54.5"
"pid and age","18-29 Independents","51","2008","68.4","68","64.1","61.9"
"pid and age","18-29 Independents","65","2012","75.3","68.9","69.5","69.7"
"pid and age","18-29 Independents","81","2016","65.3","68.5","67.5","65.9"
"pid and age","18-29 Independents","136","2020","56.2","67.1","68.7","65.3"
"pid and age","18-29 Independents","47","2024","50.1","50.7","52.1","51"
"pid and age","30-44 Independents","40","1964","80.4","56.9","NA","NA"
"pid and age","30-44 Independents","39","1966","79.7","57.8","NA","NA"
"pid and age","30-44 Independents","43","1968","79.5","63.1","NA","NA"
"pid and age","30-44 Independents","46","1970","77.4","60.6","NA","NA"
"pid and age","30-44 Independents","87","1972","75.7","64.2","NA","NA"
"pid and age","30-44 Independents","68","1974","77.4","69.4","NA","NA"
"pid and age","30-44 Independents","91","1976","69","58.3","54.7","NA"
"pid and age","30-44 Independents","64","1980","74.8","60.8","60.2","NA"
"pid and age","30-44 Independents","54","1982","66.3","61.2","NA","NA"
"pid and age","30-44 Independents","84","1984","71.7","63.9","59.8","NA"
"pid and age","30-44 Independents","96","1986","NA","60.7","NA","NA"
"pid and age","30-44 Independents","77","1988","72.5","57.9","55.9","NA"
"pid and age","30-44 Independents","69","1990","NA","65.7","NA","NA"
"pid and age","30-44 Independents","103","1992","66.7","64.9","58.9","59.1"
"pid and age","30-44 Independents","76","1994","68.4","63.4","60.4","NA"
"pid and age","30-44 Independents","57","1996","67.8","62.2","62.4","NA"
"pid and age","30-44 Independents","57","1998","67.7","67.6","NA","NA"
"pid and age","30-44 Independents","66","2000","66.9","59.3","63.9","56.5"
"pid and age","30-44 Independents","33","2002","69.4","68.1","65.5","67.4"
"pid and age","30-44 Independents","24","2004","63","61.4","64","52.4"
"pid and age","30-44 Independents","71","2008","64.9","63","60","58.1"
"pid and age","30-44 Independents","52","2012","74.8","56","65.8","58.2"
"pid and age","30-44 Independents","134","2016","67.2","63.3","63.4","61.8"
"pid and age","30-44 Independents","230","2020","65.5","68.8","71.6","64.8"
"pid and age","30-44 Independents","93","2024","62.5","66.7","64.9","66.5"
"pid and age","45-59 Independents","28","1964","81.6","55.9","NA","NA"
"pid and age","45-59 Independents","40","1966","82.9","66.1","NA","NA"
"pid and age","45-59 Independents","41","1968","83.8","60.9","NA","NA"
"pid and age","45-59 Independents","46","1970","72.1","57.6","NA","NA"
"pid and age","45-59 Independents","49","1972","77.7","64.9","NA","NA"
"pid and age","45-59 Independents","50","1974","83","66.8","NA","NA"
"pid and age","45-59 Independents","44","1976","76.7","67.1","61.2","NA"
"pid and age","45-59 Independents","29","1980","72","63.8","59.6","NA"
"pid and age","45-59 Independents","22","1982","70.7","60.5","NA","NA"
"pid and age","45-59 Independents","27","1984","71.9","62.6","57","NA"
"pid and age","45-59 Independents","37","1986","NA","59.9","NA","NA"
"pid and age","45-59 Independents","24","1988","71.7","59.5","54.3","NA"
"pid and age","45-59 Independents","36","1990","NA","57.4","NA","NA"
"pid and age","45-59 Independents","48","1992","69.4","64.2","60.4","58.1"
"pid and age","45-59 Independents","29","1994","56.3","51","51.4","NA"
"pid and age","45-59 Independents","22","1996","71.4","68","66.9","NA"
"pid and age","45-59 Independents","25","1998","66","64.7","NA","NA"
"pid and age","45-59 Independents","43","2000","70","53.4","53.1","58.9"
"pid and age","45-59 Independents","21","2002","47.1","46.4","40.1","43.9"
"pid and age","45-59 Independents","30","2004","68.2","71.9","60.4","64.5"
"pid and age","45-59 Independents","67","2008","75.3","66.5","60.7","63.2"
"pid and age","45-59 Independents","40","2012","65.1","58.6","55.3","53.2"
"pid and age","45-59 Independents","106","2016","70.5","64.7","60.7","63"
"pid and age","45-59 Independents","184","2020","61.8","64.8","64.9","61.3"
"pid and age","45-59 Independents","76","2024","64","64.2","64.9","66.4"
"pid and age","60+ Independents","20","1964","NA","NA","NA","NA"
"pid and age","60+ Independents","36","1966","81.4","62.1","NA","NA"
"pid and age","60+ Independents","26","1968","90.2","63.4","NA","NA"
"pid and age","60+ Independents","37","1970","77.7","55.3","NA","NA"
"pid and age","60+ Independents","47","1972","81","67.7","NA","NA"
"pid and age","60+ Independents","47","1974","81","63.5","NA","NA"
"pid and age","60+ Independents","48","1976","79.1","57.7","46.4","NA"
"pid and age","60+ Independents","29","1980","76.9","66.4","57.9","NA"
"pid and age","60+ Independents","26","1982","68.8","61.3","NA","NA"
"pid and age","60+ Independents","39","1984","77","62.6","54","NA"
"pid and age","60+ Independents","32","1986","NA","59.4","NA","NA"
"pid and age","60+ Independents","31","1988","78.6","53.7","51","NA"
"pid and age","60+ Independents","32","1990","NA","71.9","NA","NA"
"pid and age","60+ Independents","49","1992","72.4","62.5","57.2","59.7"
"pid and age","60+ Independents","42","1994","70.5","60.8","52.9","NA"
"pid and age","60+ Independents","28","1996","65.6","62.7","55","NA"
"pid and age","60+ Independents","25","1998","71","64.8","NA","NA"
"pid and age","60+ Independents","28","2000","73.2","66.4","57.3","63"
"pid and age","60+ Independents","13","2002","74.6","57","50.5","55"
"pid and age","60+ Independents","30","2004","76.8","65.6","58.2","62.1"
"pid and age","60+ Independents","39","2008","76.9","67","61.1","56.8"
"pid and age","60+ Independents","40","2012","77.3","60.4","56","57.3"
"pid and age","60+ Independents","125","2016","70.6","63.4","63.6","65.8"
"pid and age","60+ Independents","236","2020","70.5","67.7","68.3","71.5"
"pid and age","60+ Independents","79","2024","69.2","64.3","64.9","66.5"
"pid and age","18-29 Republicans","74","1964","82.4","63.8","NA","NA"
"pid and age","18-29 Republicans","69","1966","84.1","65.4","NA","NA"
"pid and age","18-29 Republicans","87","1968","81.7","59.3","NA","NA"
"pid and age","18-29 Republicans","86","1970","77.1","59.4","NA","NA"
"pid and age","18-29 Republicans","189","1972","73.8","58.1","NA","NA"
"pid and age","18-29 Republicans","73","1974","76.5","66.6","NA","NA"
"pid and age","18-29 Republicans","144","1976","68.4","55.7","52.2","NA"
"pid and age","18-29 Republicans","125","1980","73.3","60.1","55.9","NA"
"pid and age","18-29 Republicans","92","1982","74.4","65.3","NA","NA"
"pid and age","18-29 Republicans","179","1984","74.2","65.4","59.8","NA"
"pid and age","18-29 Republicans","209","1986","NA","67.2","NA","NA"
"pid and age","18-29 Republicans","162","1988","72.8","56.6","50.5","NA"
"pid and age","18-29 Republicans","181","1990","NA","70.3","NA","NA"
"pid and age","18-29 Republicans","165","1992","72.5","63.2","57.4","57.1"
"pid and age","18-29 Republicans","129","1994","72.1","61.9","60.2","NA"
"pid and age","18-29 Republicans","69","1996","68.1","60.9","60.1","NA"
"pid and age","18-29 Republicans","99","1998","71.8","70.5","NA","NA"
"pid and age","18-29 Republicans","71","2000","76","66.4","67","66.9"
"pid and age","18-29 Republicans","41","2002","71.3","70.3","70.4","70"
"pid and age","18-29 Republicans","64","2004","66.4","69","67.8","69.2"
"pid and age","18-29 Republicans","91","2008","71","68.5","64.7","66.6"
"pid and age","18-29 Republicans","103","2012","71.7","59.4","60.9","60.3"
"pid and age","18-29 Republicans","196","2016","72.4","65.5","61.5","65.4"
"pid and age","18-29 Republicans","249","2020","71.8","68.5","68.2","62.3"
"pid and age","18-29 Republicans","170","2024","64.7","60.4","65.2","62.2"
"pid and age","30-44 Republicans","140","1964","83.9","61.4","NA","NA"
"pid and age","30-44 Republicans","122","1966","80.1","59.4","NA","NA"
"pid and age","30-44 Republicans","139","1968","79.2","63.4","NA","NA"
"pid and age","30-44 Republicans","133","1970","75.5","56","NA","NA"
"pid and age","30-44 Republicans","197","1972","77.6","60","NA","NA"
"pid and age","30-44 Republicans","124","1974","79.1","59.1","NA","NA"
"pid and age","30-44 Republicans","163","1976","70.2","56.9","52.7","NA"
"pid and age","30-44 Republicans","132","1980","75.4","57.8","56.5","NA"
"pid and age","30-44 Republicans","124","1982","75.2","65.6","NA","NA"
"pid and age","30-44 Republicans","263","1984","71.9","62.9","59.9","NA"
"pid and age","30-44 Republicans","240","1986","NA","64.6","NA","NA"
"pid and age","30-44 Republicans","247","1988","72.6","56.6","55.8","NA"
"pid and age","30-44 Republicans","211","1990","NA","67","NA","NA"
"pid and age","30-44 Republicans","303","1992","67.7","60.4","59.2","59.1"
"pid and age","30-44 Republicans","268","1994","69.2","61.2","61.1","NA"
"pid and age","30-44 Republicans","206","1996","69.3","63.6","63.5","NA"
"pid and age","30-44 Republicans","155","1998","69.4","65.3","NA","NA"
"pid and age","30-44 Republicans","194","2000","72.7","64.1","61.9","65.7"
"pid and age","30-44 Republicans","199","2002","67.9","66.5","63.1","64"
"pid and age","30-44 Republicans","123","2004","75","70.6","69.4","68.7"
"pid and age","30-44 Republicans","151","2008","71.1","61.7","63.1","63.6"
"pid and age","30-44 Republicans","135","2012","73.4","61.5","60.4","63.2"
"pid and age","30-44 Republicans","305","2016","71.5","61.8","64.1","66.4"
"pid and age","30-44 Republicans","659","2020","71.1","67.6","68.7","67.8"
"pid and age","30-44 Republicans","479","2024","70.1","65.7","65.1","65.5"
"pid and age","45-59 Republicans","118","1964","87.1","63.9","NA","NA"
"pid and age","45-59 Republicans","104","1966","85.1","61.5","NA","NA"
"pid and age","45-59 Republicans","145","1968","81.6","62.3","NA","NA"
"pid and age","45-59 Republicans","114","1970","76.1","57.2","NA","NA"
"pid and age","45-59 Republicans","178","1972","80.4","63.6","NA","NA"
"pid and age","45-59 Republicans","119","1974","77.3","63.6","NA","NA"
"pid and age","45-59 Republicans","146","1976","76.3","60.8","56.5","NA"
"pid and age","45-59 Republicans","101","1980","79.6","60","58.1","NA"
"pid and age","45-59 Republicans","89","1982","69.4","58.6","NA","NA"
"pid and age","45-59 Republicans","143","1984","74.4","61.6","59.9","NA"
"pid and age","45-59 Republicans","136","1986","NA","62.5","NA","NA"
"pid and age","45-59 Republicans","131","1988","72","56.5","54.4","NA"
"pid and age","45-59 Republicans","127","1990","NA","65.4","NA","NA"
"pid and age","45-59 Republicans","184","1992","71.3","61.6","60","61"
"pid and age","45-59 Republicans","160","1994","72.1","61.3","61","NA"
"pid and age","45-59 Republicans","144","1996","70.1","61.6","62.1","NA"
"pid and age","45-59 Republicans","99","1998","70.3","65.4","NA","NA"
"pid and age","45-59 Republicans","165","2000","72","65.1","63.2","63.3"
"pid and age","45-59 Republicans","176","2002","67.5","65.5","63.7","62.7"
"pid and age","45-59 Republicans","139","2004","74.7","71.9","69","67"
"pid and age","45-59 Republicans","184","2008","75.2","65.5","64.9","65"
"pid and age","45-59 Republicans","137","2012","71.1","62.5","62.6","64.7"
"pid and age","45-59 Republicans","414","2016","74.3","65.8","65.2","67.4"
"pid and age","45-59 Republicans","755","2020","72.7","67.8","68.9","69.3"
"pid and age","45-59 Republicans","458","2024","69.7","65.5","65.5","67.4"
"pid and age","60+ Republicans","130","1964","86.5","64.8","NA","NA"
"pid and age","60+ Republicans","106","1966","87.7","60.1","NA","NA"
"pid and age","60+ Republicans","125","1968","84.2","64.2","NA","NA"
"pid and age","60+ Republicans","137","1970","80.7","59.9","NA","NA"
"pid and age","60+ Republicans","189","1972","84.8","61.3","NA","NA"
"pid and age","60+ Republicans","165","1974","82.7","63","NA","NA"
"pid and age","60+ Republicans","182","1976","81.2","59.2","52.6","NA"
"pid and age","60+ Republicans","113","1980","82","61.4","51.2","NA"
"pid and age","60+ Republicans","113","1982","74.8","60.9","NA","NA"
"pid and age","60+ Republicans","186","1984","77.5","58.1","53","NA"
"pid and age","60+ Republicans","155","1986","NA","61.3","NA","NA"
"pid and age","60+ Republicans","175","1988","75.9","59.6","56","NA"
"pid and age","60+ Republicans","171","1990","NA","66.4","NA","NA"
"pid and age","60+ Republicans","193","1992","75.8","61.5","59","60.2"
"pid and age","60+ Republicans","179","1994","72.3","56.7","57.6","NA"
"pid and age","60+ Republicans","161","1996","72.6","62.4","59.6","NA"
"pid and age","60+ Republicans","90","1998","71.5","66.8","NA","NA"
"pid and age","60+ Republicans","145","2000","76.5","64.5","60.9","64"
"pid and age","60+ Republicans","165","2002","74.1","65.1","60.4","64.2"
"pid and age","60+ Republicans","115","2004","79","68.6","68.3","70.4"
"pid and age","60+ Republicans","162","2008","75.4","64.6","60.7","64.1"
"pid and age","60+ Republicans","140","2012","74.1","62.3","61.2","62.1"
"pid and age","60+ Republicans","510","2016","76.5","64.9","66.2","68.7"
"pid and age","60+ Republicans","1225","2020","76.2","67","68.7","68.1"
"pid and age","60+ Republicans","907","2024","74.7","69.4","68.4","69.3"
"pid and region","Democrats in South","260","1964","87.3","66.6","NA","NA"
"pid and region","Democrats in South","176","1966","88.8","62.1","NA","NA"
"pid and region","Democrats in South","246","1968","82.5","66.9","NA","NA"
"pid and region","Democrats in South","238","1970","78.1","63.9","NA","NA"
"pid and region","Democrats in South","342","1972","80.7","68.6","NA","NA"
"pid and region","Democrats in South","255","1974","82.3","67.3","NA","NA"
"pid and region","Democrats in South","278","1976","77.3","67.7","58.8","NA"
"pid and region","Democrats in South","232","1980","82.2","71.1","62.4","NA"
"pid and region","Democrats in South","242","1982","78.9","68.3","NA","NA"
"pid and region","Democrats in South","285","1984","76.7","65.6","59.3","NA"
"pid and region","Democrats in South","382","1986","NA","69.2","NA","NA"
"pid and region","Democrats in South","311","1988","74.9","70","59.2","NA"
"pid and region","Democrats in South","326","1990","NA","72.4","NA","NA"
"pid and region","Democrats in South","351","1992","74.9","71.1","62.9","60.1"
"pid and region","Democrats in South","292","1994","76.5","69.2","63.5","NA"
"pid and region","Democrats in South","283","1996","77.3","73","67.1","NA"
"pid and region","Democrats in South","198","1998","74.3","75.3","NA","NA"
"pid and region","Democrats in South","206","2000","74.3","73.8","64.8","66.2"
"pid and region","Democrats in South","163","2002","66.6","67.7","62.3","60.1"
"pid and region","Democrats in South","160","2004","77.4","79.6","69.1","68.7"
"pid and region","Democrats in South","507","2008","75.3","74.3","68.6","65.9"
"pid and region","Democrats in South","448","2012","70.9","72.5","69.7","63.9"
"pid and region","Democrats in South","446","2016","71.4","76.3","71.9","69.3"
"pid and region","Democrats in South","879","2020","66.2","81.3","76.5","72"
"pid and region","Democrats in South","628","2024","66.7","76.2","72.3","70.8"
"pid and region","Democrats in Nonsouth","666","1964","84","64.2","NA","NA"
"pid and region","Democrats in Nonsouth","514","1966","84.5","65.4","NA","NA"
"pid and region","Democrats in Nonsouth","581","1968","80.1","66.7","NA","NA"
"pid and region","Democrats in Nonsouth","559","1970","78.1","64.2","NA","NA"
"pid and region","Democrats in Nonsouth","722","1972","76.9","65.3","NA","NA"
"pid and region","Democrats in Nonsouth","528","1974","78.2","66.7","NA","NA"
"pid and region","Democrats in Nonsouth","651","1976","72.3","61.1","56.7","NA"
"pid and region","Democrats in Nonsouth","478","1980","76.5","66.5","58.7","NA"
"pid and region","Democrats in Nonsouth","484","1982","70.9","63.2","NA","NA"
"pid and region","Democrats in Nonsouth","608","1984","73.9","66.3","60.7","NA"
"pid and region","Democrats in Nonsouth","652","1986","NA","68.7","NA","NA"
